,TEAM,SEED,WINS,LOSSES,SOS,REGION,ORDER,WINDIFSOS,SCH_PERF,NSGRADE,MELO
0,UConn Huskies,1,31,3,0.3580246913580247,EAST,0,83.9,134,95.6,1389.0
1,Stetson Hatters,16,22,12,1.0,EAST,1,15.7,43,70.8,1077.0
2,Florida Atlantic Owls,8,25,8,1.4166666666666667,EAST,2,17.7,61,84.8,1142.0
3,Northwestern Wildcats,9,21,11,0.46527777777777773,EAST,3,27.2,62,80.7,1182.0
4,San Diego State Aztecs,5,24,10,0.6222222222222222,EAST,4,28.2,40,85.6,1148.0
5,UAB Blazers,12,22,11,1.7600000000000002,EAST,5,11.9,34,78.5,1037.0
6,Auburn Tigers,4,26,7,0.47222222222222227,EAST,6,45.9,78,90.6,1269.0
7,Yale Bulldogs,13,21,9,2.08,EAST,7,11.4,26,79.7,1007.0
8,BYU Cougars,6,23,10,0.40972222222222227,EAST,8,37.4,104,86.4,1273.0
9,Duquesne Dukes,11,23,11,1.5833333333333333,EAST,9,13.2,38,79.0,1059.0
10,Illinois Fighting Illini,3,25,8,0.5051020408163265,EAST,10,39.3,81,89.8,1256.0
11,Morehead State Eagles,14,26,8,1.25,EAST,11,20.1,39,75.9,1099.0
12,Washington State Cougars,7,24,9,0.9876543209876544,EAST,12,20.9,49,83.4,1136.0
13,Drake Bulldogs,10,28,6,2.6399999999999997,EAST,13,14.0,46,82.9,1089.0
14,Iowa State Cyclones,2,27,7,0.413265306122449,EAST,14,54.1,133,90.9,1339.0
15,South Dakota State Jackrabbits,15,22,12,14.0,EAST,15,6.4,30,74.5,957.0
16,North Carolina Tar Heels,1,27,7,0.5900000000000001,WEST,0,39.6,87,90.2,1265.0
17,Howard Bison,16,18,16,6.25,WEST,1,6.0,19,68.4,896.0
18,Mississippi State Bulldogs,8,21,13,0.3288888888888889,WEST,2,30.0,55,85.5,1186.0
19,Michigan State Spartans,9,19,14,0.4030612244897959,WEST,3,18.1,33,86.9,1086.0
20,Saint Mary's Gaels,5,26,7,1.1388888888888888,WEST,4,22.3,71,84.7,1181.0
21,Grand Canyon Lopes,12,29,4,2.75,WEST,5,14.8,50,81.2,1100.0
22,Alabama Crimson Tide,4,21,11,0.32098765432098764,WEST,6,36.8,76,87.8,1241.0
23,Charleston Cougars,13,27,7,3.5555555555555554,WEST,7,11.3,12,79.5,929.0
24,Clemson Tigers,6,21,11,0.75,WEST,8,19.0,81,83.8,1177.0
25,New Mexico Lobos,11,26,9,0.7107438016528925,WEST,9,29.6,77,84.2,1216.0
26,Baylor Bears,3,23,10,0.3217993079584775,WEST,10,46.1,87,87.9,1277.0
27,Colgate Raiders,14,25,9,1.9375,WEST,11,13.9,30,76.2,1037.0
28,Dayton Flyers,7,24,7,1.390625,WEST,12,17.9,40,83.1,1099.0
29,Nevada Wolf Pack,10,26,7,0.89,WEST,13,27.0,40,82.4,1140.0
30,Arizona Wildcats,2,25,8,0.5714285714285714,WEST,14,35.4,85,91.6,1253.0
31,Long Beach State Beach,15,21,14,5.0,WEST,15,7.1,39,72.7,991.0
32,Houston Cougars,1,30,4,0.38671875,SOUTH,0,72.9,149,92.1,1382.0
33,Longwood Lancers,16,21,13,7.0,SOUTH,1,6.8,37,73.4,982.0
34,Nebraska Cornhuskers,8,23,10,0.58,SOUTH,2,28.1,71,84.5,1204.0
35,Texas A&M Aggies,9,20,14,0.3372781065088758,SOUTH,3,23.5,89,85.0,1209.0
36,Wisconsin Badgers,5,22,12,0.37869822485207105,SOUTH,4,32.1,99,86.6,1253.0
37,James Madison Dukes,12,31,3,4.333333333333333,SOUTH,5,12.1,56,81.2,1092.0
38,Duke Blue Devils,4,24,8,0.6875,SOUTH,6,28.9,68,89.4,1208.0
39,Vermont Catamounts,13,28,6,4.444444444444445,SOUTH,7,10.6,38,78.8,1037.0
40,Texas Tech Red Raiders,6,23,10,0.40277777777777773,SOUTH,8,37.9,88,84.1,1254.0
41,NC State Wolfpack,11,22,14,0.390625,SOUTH,9,26.1,70,81.9,1192.0
42,Kentucky Wildcats,3,23,9,0.38775510204081637,SOUTH,10,41.8,87,88.3,1268.0
43,Oakland Golden Grizzlies,14,23,11,1.8125,SOUTH,11,12.3,15,74.4,953.0
44,Florida Gators,7,24,10,0.4437869822485207,SOUTH,12,37.2,88,84.2,1253.0
45,Colorado Buffaloes,10,24,10,0.8400000000000001,SOUTH,13,22.3,45,84.8,1135.0
46,Marquette Golden Eagles,2,25,9,0.29,SOUTH,14,60.8,83,88.7,1301.0
47,Western Kentucky Hilltoppers,15,22,11,2048.0,SOUTH,15,5.7,44,74.7,984.0
48,Purdue Boilermakers,1,29,4,0.370242214532872,MIDWEST,0,73.2,175,93.5,1400.0
49,Grambling Tigers,16,20,14,1.1944444444444444,MIDWEST,1,10.7,1,68.1,659.0
50,Utah State Aggies,8,27,6,1.0,MIDWEST,2,26.7,31,82.3,1113.0
51,TCU Horned Frogs,9,21,12,0.3372781065088758,MIDWEST,3,32.4,38,85.0,1156.0
52,Gonzaga Bulldogs,5,25,7,0.59375,MIDWEST,4,36.0,57,88.0,1210.0
53,McNeese Cowboys,12,30,3,12.0,MIDWEST,5,7.9,49,78.3,1032.0
54,Kansas Jayhawks,4,22,10,0.3010204081632653,MIDWEST,6,45.5,121,87.1,1308.0
55,Samford Bulldogs,13,29,5,1.0,MIDWEST,7,29.7,43,78.6,1152.0
56,South Carolina Gamecocks,6,26,7,0.4791666666666667,MIDWEST,8,45.3,94,82.3,1277.0
57,Oregon Ducks,11,23,11,0.6666666666666666,MIDWEST,9,23.7,41,82.5,1129.0
58,Creighton Bluejays,3,23,9,0.5714285714285714,MIDWEST,10,30.2,84,89.6,1233.0
59,Akron Zips,14,24,10,2.8125,MIDWEST,11,10.6,16,76.8,947.0
60,Texas Longhorns,7,20,12,0.3055555555555555,MIDWEST,12,31.8,51,86.6,1185.0
61,Colorado State Rams,10,24,10,0.6331360946745561,MIDWEST,13,27.8,39,81.5,1139.0
62,Tennessee Volunteers,2,24,8,0.2962962962962963,MIDWEST,14,59.7,118,90.6,1337.0
63,Saint Peter's Peacocks,15,19,13,11.0,MIDWEST,15,6.2,33,71.2,959.0
